"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
83199	Rodentia	Muridae	Neotominae	Neotoma	quadriplicata	Neotoma quadriplicata	NA	hyp	NA	Neotoma quadriplicata	13	1	1.56	3.77	2.21	5.85715698	4.5978682293	2.4201563957728	47	29.9	-95.1	-122.9	1.04
83200	Rodentia	Muridae	Neotominae	Neotoma	sawrockensis	Neotoma sawrockensis	NA	hyp	NA	Neotoma sawrockensis	2	1	0	3.77	3.77	0.05692302	0.0446845707	0.238585456388272	39.1	32.5	-95.7	-96.4	0
83220	Rodentia	Muridae	Arvicolinae	Ogmodontomys	sawrockensis	Ogmodontomys sawrockensis	NA	hyp	NA	Ogmodontomys sawrockensis	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
83723	Eulipotyphla	Talpidae	Talpinae	Scalopus	sewardensis	Scalopus sewardensis	NA	bra	NA	Scalopus sewardensis	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
84252	Rodentia	Castoridae	Castoroidinae	Dipoides	wilsoni	Dipoides wilsoni	NA	hyp	NA	Dipoides wilsoni	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
82001	Artiodactyla	Tayassuidae	Tayassuinae	Platygonus	bicalcaratus	Platygonus bicalcaratus	NA	bra	L2202	Platygonus bicalcaratus	13	1	2.01	3.77	1.76	3.51739908	2.7611582778	1.87547302833179	39.1	27.4	-81.6	-106	1.26
82116	Carnivora	Mustelidae		Martes	foxi	Martes foxi	NA			Martes foxi	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
83031	Lagomorpha	Leporidae	Archaeolaginae	Notolagus	lepusculus	Notolagus lepusculus	NA	hys	NA	Notolagus lepusculus	3	1	0	3.77	3.77	0.05692302	0.0446845707	0.238585456388272	39.1	32.5	-95.7	-96.4	0
84247	Rodentia	Castoridae	Castoroidinae	Dipoides	rexroadensis	Dipoides rexroadensis	NA	hyp	NA	Dipoides rexroadensis	3	1	0	3.77	3.77	2.64753648	2.0783161368	1.62712521952061	47	39.1	-95.7	-122.9	0
80279	Carnivora	Procyonidae	Procyoninae	Bassariscus	casei	Bassariscus casei	818			Bassariscus casei	4	1	2.01	3.77	1.76	4.8594024	3.814630884	2.20440522590562	47	32.5	-95.7	-122.9	2.01
80293	Carnivora	Procyonidae	Procyoninae	Procyon	rexroadensis	Procyon rexroadensis	6999			Procyon rexroadensis	2	1	1.56	3.77	2.21	0.31319982	0.2458618587	0.559642582368426	39.1	35	-95.7	-101.9	0.78
80345	Carnivora	Mephitidae	Mephitini	Spilogale	rexroadi	Spilogale rexroadi	340			Spilogale rexroadi	3	1	1.56	3.77	2.21	0.14735916	0.1156769406	0.383873885540551	39.1	29.9	-95.1	-96.4	0.78
80366	Carnivora	Mustelidae	Lutrini	Satherium	ingens	Satherium ingens	NA			Satherium ingens	3	1	1.56	3.77	2.21	1.33621245	1.04892677325	1.15594656018347	43.6	39.1	-95.7	-119.8	0.78
80398	Carnivora	Mustelidae		Mustela	meltoni	Mustela meltoni	NA			Mustela meltoni	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
81917	Perissodactyla	Equidae	Equinae	Equus	cumminsi	Equus cumminsi	NA	hyp	L2333	Equus cumminsi	12	1	1.56	3.77	2.21	2.98242126	2.3412006891	1.72696880689838	39.7	29.9	-95.1	-119.8	0
82608	Rodentia	Heteromyidae	Perognathinae	Perognathus	gidleyi	Perognathus gidleyi	NA	mes	NA	Perognathus gidleyi	4	1	1.56	3.77	2.21	1.4144508	1.110343878	1.18930685695492	39.1	32.1	-95.7	-112.1	0.78
82735	Rodentia	Dipodidae	Zapodinae	Zapus	sandersi	Zapus sandersi	NA	mes	NA	Zapus sandersi	4	1	1.56	3.77	2.21	0.02069928	0.0162489348	0.143872443504655	39.9	39.1	-95.7	-97.8	0.78
83043	Lagomorpha	Leporidae	Leporinae	Pratilepus	kansasensis	Pratilepus kansasensis	NA	hys	NA	Pratilepus kansasensis	2	1	0	3.77	3.77	0.05692302	0.0446845707	0.238585456388272	39.1	32.5	-95.7	-96.4	0
83044	Lagomorpha	Leporidae	Leporinae	Nekrolagus	progressus	Nekrolagus progressus	NA	hys	NA	Nekrolagus progressus	7	1	3.2	5.41	2.21	9.52019028	7.4733493698	3.08548055900536	47	28.2	-81.8	-122.9	2.38
83152	Rodentia	Muridae	Neotominae	Onychomys	hollisteri	Onychomys hollisteri	NA	hyp	NA	Onychomys hollisteri	3	1	1.56	3.77	2.21	0.02069928	0.0162489348	0.143872443504655	39.9	39.1	-95.7	-97.8	0.52
