"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominini"	"12"	"0.262"	"-0.627"	"0.75"	"1.005"	"-0.511"	"0.931"	"-0.429"	"-1.23"	"0.627"	"linear"	"0.931"
"Hominidae not Hominini"	"35"	"-0.442"	"-0.223"	"0.877"	"0.329"	"-0.086"	"0.718"	"-0.758"	"-0.649"	"0.916"	"power"	"0.916"
"Primates"	"410"	"-0.322"	"-0.285"	"0.983"	"0.327"	"-0.069"	"0.776"	"-0.778"	"-0.785"	"0.646"	"exponential"	"0.983"
"Primates other"	"358"	"-0.438"	"-0.215"	"0.971"	"0.269"	"-0.043"	"0.733"	"-0.815"	"-0.732"	"0.649"	"exponential"	"0.971"
"Hominidae not Hominini"	"36"	"-0.318"	"-0.246"	"0.952"	"0.359"	"-0.081"	"0.886"	"-0.68"	"-0.724"	"0.719"	"exponential"	"0.952"
"Hominini"	"13"	"0.291"	"-0.683"	"0.965"	"1.003"	"-0.517"	"0.884"	"-0.457"	"-1.522"	"0.859"	"exponential"	"0.965"
"Primates"	"407"	"-0.399"	"-0.227"	"0.978"	"0.291"	"-0.049"	"0.736"	"-0.79"	"-0.774"	"0.668"	"exponential"	"0.978"
"Primates other"	"361"	"-0.421"	"-0.225"	"0.966"	"0.291"	"-0.05"	"0.704"	"-0.831"	"-0.642"	"0.618"	"exponential"	"0.966"
"Hominini"	"13"	"0.079"	"-0.506"	"0.924"	"0.784"	"-0.352"	"0.981"	"-0.51"	"-0.945"	"0.736"	"linear"	"0.981"
"Hominidae not Hominini"	"37"	"-0.376"	"-0.221"	"0.971"	"0.356"	"-0.088"	"0.928"	"-0.704"	"-0.553"	"0.797"	"exponential"	"0.971"
"Primates"	"411"	"-0.394"	"-0.236"	"0.969"	"0.304"	"-0.054"	"0.703"	"-0.813"	"-0.662"	"0.619"	"exponential"	"0.969"
"Primates other"	"367"	"-0.425"	"-0.229"	"0.964"	"0.274"	"-0.047"	"0.745"	"-0.821"	"-0.73"	"0.63"	"exponential"	"0.964"
"Hominidae not Hominini"	"38"	"-0.357"	"-0.287"	"0.983"	"0.349"	"-0.095"	"0.862"	"-0.767"	"-0.717"	"0.803"	"exponential"	"0.983"
"Hominini"	"12"	"0.224"	"-0.543"	"0.88"	"0.944"	"-0.418"	"0.977"	"-0.382"	"-1.317"	"0.777"	"linear"	"0.977"
"Primates"	"417"	"-0.395"	"-0.24"	"0.965"	"0.29"	"-0.052"	"0.736"	"-0.794"	"-0.758"	"0.636"	"exponential"	"0.965"
"Primates other"	"357"	"-0.447"	"-0.236"	"0.978"	"0.269"	"-0.048"	"0.719"	"-0.838"	"-0.787"	"0.701"	"exponential"	"0.978"
"Hominidae not Hominini"	"42"	"-0.404"	"-0.205"	"0.935"	"0.341"	"-0.079"	"0.857"	"-0.707"	"-0.496"	"0.747"	"exponential"	"0.935"
"Hominini"	"13"	"-0.014"	"-0.425"	"0.831"	"0.775"	"-0.337"	"0.972"	"-0.532"	"-0.41"	"0.532"	"linear"	"0.972"
"Primates"	"412"	"-0.413"	"-0.246"	"0.982"	"0.285"	"-0.052"	"0.72"	"-0.823"	"-0.763"	"0.673"	"exponential"	"0.982"
